id_autor,id_libro
1,5760
2,7366
3,5239
4,8323
5,8316
6,9884
7,2783
8,815
9,9677
10,6683
11,5139
12,4815
13,3880
14,523
14,2698
15,2609
16,8660
17,6753
18,5372
19,11041
20,10073
21,7333
21,7493
22,2633
23,7098
24,4064
25,248
26,1381
26,1394
26,2131
26,6172
27,5350
27,8080
28,4382
28,5282
28,6621
28,10996
29,7897
30,1582
30,3016
30,3564
30,4515
30,4543
30,10926
31,4171
32,5090
33,7216
34,5527
35,1847
36,611
37,2709
38,687
39,5669
40,8312
41,8232
42,8447
43,2382
44,11035
45,8619
45,9484
45,10557
45,11050
46,4468
47,455
48,3088
48,3089
49,2144
50,682
51,3093
52,1236
52,2589
53,1580
53,3377
53,6653
54,4366
55,8633
55,10060
55,10061
56,6728
57,10852
58,1001
59,5350
60,8609
61,2643
62,9364
63,1470
63,4064
64,4335
64,4336
65,5173
65,5174
65,6397
66,6324
67,4064
68,6194
69,2197
69,2197
70,1473
71,7860
72,8793
73,7707
74,6845
75,5780
76,2700
77,2765
78,5309
79,10397
80,1827
81,1268
81,5820
81,8222
82,1569
82,1890
83,10491
84,669
84,2530
85,6592
85,6593
85,6623
85,6624
85,6625
85,6626
85,6627
85,6628
85,7251
85,7863
85,7812
85,7892
85,7893
85,7894
85,7895
85,10103
86,7055
86,7156
87,771
87,1034
87,1649
87,2037
87,2529
87,2607
87,2659
87,2756
87,2877
87,3002
87,3003
87,3149
87,3150
87,3185
87,3580
87,3581
87,3582
87,3865
87,3901
87,4040
87,4160
87,4956
87,4957
87,5288
87,5290
87,5340
87,5459
87,5815
87,5983
87,6147
87,6408
87,6849
87,7143
87,7144
87,7192
87,7933
87,8873
87,8874
87,9014
87,9304
87,9639
87,9866
87,9881
87,5001
87,10257
87,10346
87,10695
88,1219
89,2864
90,933
91,6451
92,1048
92,7834
93,4290
94,489
95,2405
96,1808
97,9206
98,10866
98,10993
98,11037
98,11069
98,11087
98,11089
98,11102
98,11103
98,11117
98,11126
98,1
98,4
98,5
99,285
100,10700
101,384
101,3233
101,3335
101,4022
101,4408
102,2737
103,3458
103,6920
103,7085
103,7359
103,8027
104,537
105,6835
106,1458
107,1038
107,2626
107,4021
107,4799
107,6012
107,6458
107,6536
108,952
109,3083
110,11
111,5830
111,9975
111,9982
111,10521
111,10843
111,10987
112,9859
113,8832
114,5001
115,325
115,456
115,600
115,647
115,829
115,1004
115,1358
115,1609
115,1845
115,1860
115,2147
115,3279
115,3462
115,3778
115,4182
115,4361
115,5016
115,5030
115,5224
115,5306
115,5355
115,5408
115,5689
115,6885
115,7842
116,2398
116,4576
116,5966
117,6696
118,4204
119,1873
119,5394
120,2906
121,265
121,942
121,2782
122,9843
123,7817
124,5350
125,6355
126,69
126,3867
126,5244
126,7477
127,4946
128,8582
128,9731
128,10683
129,9006
130,4603
130,4604
130,4629
131,274
131,279
131,1069
131,1491
131,3937
131,3960
131,3961
132,10340
133,6623
134,10875
135,8213
136,6356
136,8899
137,6187
138,2864
139,10921
140,1979
141,1564
141,3404
141,3578
141,4478
141,5542
141,5896
141,5897
141,5907
141,380
141,5982
141,6902
141,6906
141,6907
141,6958
141,7561
141,8560
141,8600
141,9091
141,9205
141,9959
141,10041
141,10428
142,7158
143,8959
143,9013
143,9222
143,10289
143,10748
144,2624
145,9677
146,7269
147,10088
148,2282
149,2718
150,1195
151,8368
152,9582
153,6901
154,10881
154,10888
155,552
156,7079
157,2461
157,2644
157,3546
157,3973
157,4923
157,5432
157,6112
157,6116
157,8687
157,8703
157,8704
157,9119
157,9120
157,10092
157,10162
157,10364
158,1037
159,3744
160,10951
161,406
161,1576
162,6764
163,5462
163,9385
164,8371
165,6755
166,9011
167,9925
168,1171
169,687
170,161
171,10673
172,788
173,3471
174,9995
175,8840
176,4226
177,9459
177,9471
177,9757
177,10391
178,1182
179,3142
180,1454
181,5473
182,8144
183,160
183,370
183,1378
183,1928
183,2506
183,2856
183,1995
183,5624
183,5893
183,5948
183,6651
183,7272
183,7344
183,7439
183,7611
183,7612
183,7613
184,10483
185,9206
185,11106
186,9359
186,10644
187,4230
187,5855
188,6764
188,7731
188,7732
188,7733
188,7819
188,7820
188,7821
188,7822
188,10282
188,10656
189,4752
190,3957
191,8752
191,8753
191,9660
192,2327
193,4938
193,7283
193,7449
194,173
195,832
196,2469
197,3116
197,4445
197,5084
197,7455
197,7456
197,7457
197,7628
197,8255
197,9734
197,9735
197,9736
198,6122
199,6680
199,6681
199,8231
199,8901
200,10429
200,10681
200,10682
200,10823
201,10021
202,8405
203,3989
203,5450
203,8669
204,6461
205,3642
205,4407
206,10068
207,10140
208,1388
209,2076
210,6057
211,9044
212,8437
213,9369
214,7347
214,7715
214,7754
215,3056
215,6876
216,1540
216,1873
216,2890
216,3599
216,3641
216,3759
216,3852
216,4328
217,7348
218,4631
219,1853
220,2447
220,6421
220,10075
220,11093
221,1808
221,1820
221,1821
221,5117
221,5974
221,6143
221,7476
221,7928
221,8528
221,8606
221,10040
222,114
223,3216
223,3225
223,3229
223,3243
224,6613
224,7982
224,9250
225,63
226,9654
227,369
228,82
229,1473
230,6477
231,6900
232,4226
232,7695
233,3030
234,5030
235,4538
236,10109
237,8303
238,673
239,6953
239,7129
240,9567
241,9149
242,4488
243,2053
244,9161
245,5828
245,6997
245,8890
246,6396
247,5337
247,7018
248,4458
249,2155
250,6127
251,8059
252,7294
253,2352
254,4338
255,10359
256,6905
257,302
257,8765
258,10186
259,3602
259,8321
259,9442
260,97
261,2538
262,6342
262,6692
262,7101
262,7367
263,7220
264,10756
265,4187
265,5297
266,6171
267,328
267,329
268,7070
268,8293
269,127
270,311
271,7594
272,3949
273,3007
273,4877
274,1458
275,2298
276,918
277,3261
278,1313
278,2583
279,5255
279,7472
280,3124
280,3125
280,3764
280,9743
281,9044
282,4197
282,6730
282,6866
282,7020
282,8644
283,799
284,10477
285,6739
286,2215
287,9677
288,5430
289,9496
290,1458
290,4064
291,172
292,10176
293,4211
294,1911
294,3204
295,2979
296,1808
297,6683
298,5023
298,5570
298,9074
299,2574
300,7094
300,7096
301,1145
301,2950
301,4273
301,7743
302,7825
303,6413
304,520
304,521
304,4932
304,5017
304,5798
304,6139
304,6203
304,6204
304,6453
304,6890
305,5052
306,1282
307,3663
307,6903
307,7063
308,5387
309,4870
309,5494
309,5730
309,6767
309,6904
309,7709
310,2865
311,3325
312,2207
312,3131
312,4619
312,4648
312,6155
312,6689
312,8351
312,8352
312,8353
312,9000
312,9001
312,9024
312,9546
313,5453
314,5453
315,3050
316,7396
317,4226
318,5593
319,8772
319,10067
319,10403
320,3862
321,1893
322,10925
323,1128
324,6867
324,6868
324,7515
325,9883
326,2054
326,5525
327,290
328,10363
329,3684
330,9502
331,5099
332,3507
333,7635
334,14
335,200
336,5009
337,6046
338,816
339,402
340,10611
341,6998
342,2657
342,4689
343,7347
344,7653
345,3939
346,3541
347,3138
347,6314
347,6671
347,6700
347,6964
347,6996
348,2791
348,2793
349,681
350,1662
351,3054
