id,nombre
1, Antigone
2, Companion #3.5)
3, Electra
4, Immortals After Dark #1)
5, Moon Lust  #1)
6, The Amber Spyglass)
7, Undead  #2.5
8,"""John """"Red"""" Shea"
9,A. Bartlett Giamatti
10,A. Elizabeth Delany
11,A. Merritt
12,A. Roger Merrill
13,A. Walton Litz
14,A.B. Yehoshua
15,A.D.P. Briggs
16,A.E. Cunningham
17,A.E. van Vogt
18,A.G. Pasquella
19,A.H. Armstrong
20,A.J. Arberry
21,A.J. Ayer
22,A.J. Jacobs
23,A.J. McAllister
24,A.M. Dellamonica
25,A.M. Homes
26,A.N. Roquelaure
27,A.N. Wilson
28,A.R. Braunmuller
29,A.R. Taylor
30,A.S. Byatt
31,A.T. Hatto
32,A.V. Miller
33,Aaron Anderson
34,Aaron Asher
35,Aaron Medwin
36,Aaron Rosenberg
37,Aaron Shepard
38,Abbe Wool
39,Abbie Hoffman
40,Abdul Rahman Munif
41,Abdul-Karim Mustapha
42,Abigail Adams
43,Abigail Thomas
44,Abolqasem Ferdowsi
45,Abraham Lincoln
46,Abraham Moore
47,Adam  Sexton
48,Adam Drozdek
49,Adam Gauntlett
50,Adam Ginsberg
51,Adam Golaski
52,Adam Gopnik
53,Adam Hargreaves
54,Adam Haslett
55,Adam Hochschild
56,Adam Lesh
57,Adam Long
58,Adam Mansbach
59,Adam Mars-Jones
60,Adam McCauley
61,Adam Phillips
62,Adam Rex
63,Adam Roberts
64,Adam Smith
65,Adam Swift
66,Adam Woog
67,Adam-Troy Castro
68,Adela Pinch
69,Adèle Geras
70,Adèle Lang
71,Adi Granov
72,Adolfo Bioy Casares
73,Adolfo Pérez Perdomo
74,Adrian    Reynolds
75,Adrian Alphona
76,Adrian Esteban
77,Adrián Ferrero
78,Adrian Geoffrey Gilbert
79,Adrian Guelke
80,Adrian Lester
81,Adrian McKinty
82,Adrian Wootton
83,Adrienne Theimer
84,Aeon J. Skoble
85,Aeschylus
86,Aesop
87,Agatha Christie
88,Agnes D. Kingston
89,Agnolo di Cosimo Bronzino
90,Ai Morinaga
